,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18
Москва,0.0,33.0,0.0,54.0,0.0,28.0,120.0,1.0,157.0,114.0,197.0,212.0,387.0,267.0,595.0,448.0,434.0,536.0,591.0,697.0,660.0,857.0,1124.0,1030.0,1306.0,1355.0,1489.0,1774.0,1370.0,1959.0,2649.0
Республика Саха (Якутия),0.0,6.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,7.0,2.0,3.0,9.0
Санкт-Петербург,0.0,4.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,11.0,5.0,8.0,48.0,27.0,22.0,9.0,15.0,20.0,35.0,69.0,34.0,44.0,35.0,80.0,69.0,121.0,121.0,130.0,154.0,424.0,139.0
Самарская область,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,11.0,0.0,10.0,13.0,1.0
Кировская область,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,15.0,0.0,13.0,9.0,18.0,20.0
Новосибирская область,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,7.0,0.0,8.0,0.0,17.0,11.0,12.0,10.0
Московская область,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,36.0,27.0,7.0,0.0,15.0,43.0,34.0,49.0,45.0,82.0,67.0,95.0,199.0,182.0,152.0,278.0,495.0,460.0,272.0,467.0,472.0,428.0
Ульяновская область,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,34.0,22.0,0.0,16.0,0.0,18.0,19.0,15.0,19.0
Тюменская область,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,8.0,0.0,14.0,14.0,18.0,27.0,34.0,39.0
Новгородская область,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,27.0,21.0,6.0
Архангельская область,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,5.0
Брянская область,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,12.0,0.0,5.0,32.0,1.0,40.0,0.0,26.0,0.0,1.0,0.0,22.0,37.0,27.0,28.0
Удмуртская Республика,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,8.0,15.0,16.0,4.0
Воронежская область,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,9.0,0.0,10.0,0.0,4.0,0.0,0.0,11.0,8.0,7.0,14.0,19.0,22.0
Свердловская область,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,4.0,0.0,0.0,9.0,0.0,5.0,1.0,1.0,0.0,4.0,7.0,5.0,0.0,2.0,13.0,0.0,7.0,8.0,12.0,6.0,4.0,11.0
Республика Башкортостан,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,18.0,25.0,0.0,23.0,22.0,20.0,42.0,22.0,39.0
