region,date,cases
Москва,2020-04-30,3093
Московская область,2020-04-30,793
Санкт-Петербург,2020-04-30,336
Республика Дагестан,2020-04-30,158
Нижегородская область,2020-04-30,150
Брянская область,2020-04-30,118
Калужская область,2020-04-30,113
Мурманская область,2020-04-30,101
Республика Северная Осетия,2020-04-30,93
Тульская область,2020-04-30,92
Ростовская область,2020-04-30,79
Тамбовская область,2020-04-30,75
Республика Башкортостан,2020-04-30,75
Свердловская область,2020-04-30,74
Республика Татарстан,2020-04-30,71
Курская область,2020-04-30,68
Челябинская область,2020-04-30,67
Краснодарский край,2020-04-30,66
Красноярский край,2020-04-30,57
Ямало-Ненецкий АО,2020-04-30,54
Ленинградская область,2020-04-30,51
Чувашская Республика,2020-04-30,47
Саратовская область,2020-04-30,46
Кабардино-Балкарская Республика,2020-04-30,44
Республика Ингушетия,2020-04-30,43
Ставропольский край,2020-04-30,43
Рязанская область,2020-04-30,40
Пензенская область,2020-04-30,40
Самарская область,2020-04-30,40
Республика Мордовия,2020-04-30,39
Хабаровский край,2020-04-30,38
Приморский край,2020-04-30,36
Владимирская область,2020-04-30,35
Новосибирская область,2020-04-30,35
Воронежская область,2020-04-30,34
Алтайский край,2020-04-30,34
Ивановская область,2020-04-30,32
Калининградская область,2020-04-30,32
Липецкая область,2020-04-30,31
Волгоградская область,2020-04-30,31
Республика Марий Эл,2020-04-30,31
Белгородская область,2020-04-30,28
Орловская область,2020-04-30,27
Кировская область,2020-04-30,27
Оренбургская область,2020-04-30,27
Ульяновская область,2020-04-30,27
Смоленская область,2020-04-30,26
Республика Бурятия,2020-04-30,26
Республика Саха (Якутия),2020-04-30,24
Камчатский край,2020-04-30,24
Ярославская область,2020-04-30,23
Карачаево-Черкесская Республика,2020-04-30,22
Ханты-Мансийский АО,2020-04-30,21
Чеченская Республика,2020-04-30,20
Пермский край,2020-04-30,19
Костромская область,2020-04-30,18
Тверская область,2020-04-30,17
Астраханская область,2020-04-30,15
Тюменская область,2020-04-30,15
Архангельская область,2020-04-30,13
Новгородская область,2020-04-30,13
Кемеровская область,2020-04-30,12
Удмуртская Республика,2020-04-30,11
Республика Коми,2020-04-30,10
Омская область,2020-04-30,10
Амурская область,2020-04-30,10
Республика Крым,2020-04-30,10
Республика Адыгея,2020-04-30,9
Республика Калмыкия,2020-04-30,9
Вологодская область,2020-04-30,7
Псковская область,2020-04-30,7
Еврейская АО,2020-04-30,6
Забайкальский край,2020-04-30,5
Республика Хакасия,2020-04-30,4
Иркутская область,2020-04-30,4
Республика Карелия,2020-04-30,3
Ненецкий автономный округ,2020-04-30,3
Республика Алтай,2020-04-30,2
Республика Тыва,2020-04-30,2
Томская область,2020-04-30,2
Магаданская область,2020-04-30,2
Курганская область,2020-04-30,1
Сахалинская область,2020-04-30,1
Чукотский АО,2020-04-30,1
Севастополь,2020-04-30,1
