"tid","term_name","total","tape_location","digitized_tapes_count"
71484,"Limits",33,"Barrie",0
71485,"RF",137,"unknown/null",0
71486,"RN",117,"unknown/null",12
71487,"BIN/IN",536,"299 Queen",0
71488,"ECM",80,"299 Queen",45
71489,"MIN",19748,"299 Queen",3326
71490,"MINH",540,"Barrie",0
71491,"BNM",5437,"299 Queen",2322
71492,"TM",1000,"299 Queen",213
71493,"TMP",180,"299 Queen",67
71494,"TMH",32,"Barrie",5
71495,"MSP",10560,"299 Queen",1003
71496,"MSPH",537,"299 Queen",0
71497,"NM",5600,"Barrie",603
